old_id,new_id
BBEAR_00002150,PB.241.4
BBEAR_00002149,PB.241.5
BBEAR_00002148,PB.241.6
BBEAR_00000441,PB.241.7
BBEAR_00000443,PB.241.8
BBEAR_00000442,PB.241.9
BBEAR_00002151,PB.241.10
BBEAR_00000444,PB.242.1
BBEAR_00000445,PB.243.1
BBEAR_00000446,PB.244.1
BBEAR_00000447,PB.244.2
BBEAR_00002152,PB.245.1
BBEAR_00002153,PB.245.2
BBEAR_00000449,PB.245.3
BBEAR_00002154,PB.245.4
BBEAR_00002155,PB.245.5
BBEAR_00002156,PB.245.6
BBEAR_00000448,PB.245.7
BBEAR_00002157,PB.245.8
BBEAR_00002158,PB.245.9
BBEAR_00002160,PB.245.10
BBEAR_00002159,PB.245.11
BBEAR_00002161,PB.245.12
BBEAR_00000450,PB.245.13
BBEAR_00002162,PB.245.14
BBEAR_00000451,PB.246.1
BBEAR_00002163,PB.246.2
BBEAR_00002164,PB.246.3
BBEAR_00002165,PB.246.4
BBEAR_00002166,PB.246.5
BBEAR_00002167,PB.246.6
BBEAR_00002168,PB.246.7
BBEAR_00002169,PB.246.8
BBEAR_00000452,PB.246.9
BBEAR_00000453,PB.247.1
BBEAR_00002170,PB.247.2
BBEAR_00000455,PB.247.3
BBEAR_00000454,PB.247.4
BBEAR_00002171,PB.247.5
BBEAR_00000456,PB.248.1
BBEAR_00002175,PB.248.2
BBEAR_00002174,PB.248.3
BBEAR_00002173,PB.248.4
BBEAR_00002172,PB.248.5
BBEAR_00002176,PB.248.6
BBEAR_00002177,PB.248.7
BBEAR_00002178,PB.249.1
BBEAR_00000457,PB.249.2
BBEAR_00000458,PB.249.3
BBEAR_00000463,PB.249.4
BBEAR_00000462,PB.249.5
BBEAR_00000461,PB.249.6
BBEAR_00000460,PB.249.7
BBEAR_00000459,PB.249.8
BBEAR_00000464,PB.249.9
BBEAR_00000465,PB.250.1
BBEAR_00000466,PB.251.1
BBEAR_00000467,PB.251.2
BBEAR_00000468,PB.251.3
BBEAR_00002179,PB.251.4
BBEAR_00002180,PB.251.5
BBEAR_00002181,PB.251.6
BBEAR_00000469,PB.252.1
BBEAR_00000470,PB.253.1
BBEAR_00000471,PB.254.1
BBEAR_00000472,PB.255.1
BBEAR_00002182,PB.256.1
BBEAR_00000475,PB.256.2
BBEAR_00000476,PB.256.3
BBEAR_00000474,PB.256.4
BBEAR_00000473,PB.256.5
BBEAR_00002183,PB.256.6
BBEAR_00002184,PB.256.7
BBEAR_00000477,PB.256.8
BBEAR_00000478,PB.256.9
BBEAR_00000479,PB.256.10
BBEAR_00000480,PB.256.11
BBEAR_00000481,PB.256.12
BBEAR_00000482,PB.257.1
BBEAR_00002185,PB.258.1
BBEAR_00000483,PB.259.1
BBEAR_00002186,PB.260.1
BBEAR_00002187,PB.260.2
BBEAR_00002188,PB.260.3
BBEAR_00000486,PB.260.4
BBEAR_00000488,PB.260.5
BBEAR_00000490,PB.260.6
BBEAR_00000489,PB.260.7
BBEAR_00000487,PB.260.8
BBEAR_00000485,PB.260.9
BBEAR_00000484,PB.260.10
BBEAR_00002189,PB.260.11
BBEAR_00002190,PB.260.12
BBEAR_00002192,PB.260.13
BBEAR_00002191,PB.260.14
BBEAR_00002194,PB.260.15
BBEAR_00002193,PB.260.16
BBEAR_00002195,PB.260.17
BBEAR_00002196,PB.260.18
BBEAR_00000491,PB.260.19
BBEAR_00002197,PB.260.20
BBEAR_00000492,PB.260.21
BBEAR_00002198,PB.260.22
BBEAR_00000493,PB.260.23
BBEAR_00000494,PB.261.1
BBEAR_00000495,PB.262.1
BBEAR_00000496,PB.263.1
BBEAR_00000497,PB.264.1
BBEAR_00000498,PB.264.2
BBEAR_00000499,PB.265.1
BBEAR_00000502,PB.265.2
BBEAR_00000501,PB.265.3
BBEAR_00000500,PB.265.4
BBEAR_00000503,PB.266.1
BBEAR_00000504,PB.267.1
BBEAR_00000505,PB.268.1
BBEAR_00000509,PB.268.2
BBEAR_00000510,PB.268.3
BBEAR_00000508,PB.268.4
BBEAR_00000507,PB.268.5
BBEAR_00000506,PB.268.6
BBEAR_00002199,PB.268.7
BBEAR_00002200,PB.268.8
BBEAR_00002201,PB.268.9
BBEAR_00002202,PB.268.10
BBEAR_00002203,PB.268.11
BBEAR_00002204,PB.268.12
BBEAR_00002205,PB.268.13
BBEAR_00002206,PB.268.14
BBEAR_00002207,PB.268.15
BBEAR_00000511,PB.268.16
BBEAR_00000513,PB.268.17
BBEAR_00000512,PB.268.18
BBEAR_00000514,PB.268.19
BBEAR_00002208,PB.268.20
BBEAR_00002209,PB.268.21
BBEAR_00002210,PB.268.22
BBEAR_00002211,PB.268.23
BBEAR_00002212,PB.268.24
BBEAR_00000515,PB.268.25
BBEAR_00002213,PB.268.26
BBEAR_00002214,PB.268.27
BBEAR_00002215,PB.268.28
